"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","81"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","70.0"
">","EXTENTS_TOP:","104.0"
">","EXTENTS_RIGHT:","241"
">","EXTENTS_BOTTOM:","355"
">","EXTENTS_WIDTH:","171.0"
">","EXTENTS_HEIGHT:","251.0"
">","COMMAND_STITCH","78"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","82"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1253"
"@","+X","854"
"@","-Y","1253"
"@","-X","854"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#2462c1","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","70.0","104.0"
"*","1","JUMP","140.0","209.0"
"*","2","STITCH","210","313"
"*","3","STITCH","210","314"
"*","4","STITCH","210","315"
"*","5","STITCH","210","314"
"*","6","STITCH","210","313"
"*","7","STITCH","210","328"
"*","8","STITCH","210","342"
"*","9","STITCH","219","350"
"*","10","STITCH","232","344"
"*","11","STITCH","219","350"
"*","12","STITCH","210","342"
"*","13","STITCH","210","328"
"*","14","STITCH","210","313"
"*","15","STITCH","215","313"
"*","16","STITCH","204","313"
"*","17","STITCH","215","317"
"*","18","STITCH","204","317"
"*","19","STITCH","215","321"
"*","20","STITCH","204","321"
"*","21","STITCH","215","325"
"*","22","STITCH","204","325"
"*","23","STITCH","215","329"
"*","24","STITCH","204","329"
"*","25","STITCH","215","333"
"*","26","STITCH","204","333"
"*","27","STITCH","215","336"
"*","28","STITCH","205","338"
"*","29","STITCH","215","338"
"*","30","STITCH","205","342"
"*","31","STITCH","215","341"
"*","32","STITCH","206","346"
"*","33","STITCH","216","343"
"*","34","STITCH","208","350"
"*","35","STITCH","218","345"
"*","36","STITCH","212","353"
"*","37","STITCH","220","345"
"*","38","STITCH","216","354"
"*","39","STITCH","224","345"
"*","40","STITCH","220","355"
"*","41","STITCH","227","344"
"*","42","STITCH","224","354"
"*","43","STITCH","230","341"
"*","44","STITCH","228","353"
"*","45","STITCH","232","338"
"*","46","STITCH","232","350"
"*","47","STITCH","236","352"
"*","48","STITCH","236","337"
"*","49","STITCH","236","322"
"*","50","STITCH","236","313"
"*","51","STITCH","236","322"
"*","52","STITCH","236","337"
"*","53","STITCH","236","352"
"*","54","STITCH","230","352"
"*","55","STITCH","241","352"
"*","56","STITCH","230","348"
"*","57","STITCH","241","348"
"*","58","STITCH","230","344"
"*","59","STITCH","241","344"
"*","60","STITCH","230","340"
"*","61","STITCH","241","340"
"*","62","STITCH","230","336"
"*","63","STITCH","241","336"
"*","64","STITCH","230","332"
"*","65","STITCH","241","332"
"*","66","STITCH","230","328"
"*","67","STITCH","241","328"
"*","68","STITCH","230","324"
"*","69","STITCH","241","324"
"*","70","STITCH","230","320"
"*","71","STITCH","241","320"
"*","72","STITCH","230","316"
"*","73","STITCH","241","316"
"*","74","STITCH","230","313"
"*","75","STITCH","241","313"
"*","76","STITCH","240","313"
"*","77","STITCH","239","313"
"*","78","STITCH","240","313"
"*","79","STITCH","241","313"
"*","80","END","241","313"
