"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","72"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","95.0"
">","EXTENTS_TOP:","104.0"
">","EXTENTS_RIGHT:","320"
">","EXTENTS_BOTTOM:","354"
">","EXTENTS_WIDTH:","225.0"
">","EXTENTS_HEIGHT:","250.0"
">","COMMAND_STITCH","69"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","73"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1249"
"@","+X","1124"
"@","-Y","1249"
"@","-X","1124"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#63131b","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","95.0","104.0"
"*","1","JUMP","189.0","209.0"
"*","2","STITCH","284","313"
"*","3","STITCH","284","314"
"*","4","STITCH","284","315"
"*","5","STITCH","284","314"
"*","6","STITCH","284","313"
"*","7","STITCH","288","326"
"*","8","STITCH","293","338"
"*","9","STITCH","299","348"
"*","10","STITCH","305","339"
"*","11","STITCH","310","326"
"*","12","STITCH","314","313"
"*","13","STITCH","310","326"
"*","14","STITCH","305","339"
"*","15","STITCH","299","348"
"*","16","STITCH","293","338"
"*","17","STITCH","288","326"
"*","18","STITCH","284","313"
"*","19","STITCH","289","313"
"*","20","STITCH","278","313"
"*","21","STITCH","290","316"
"*","22","STITCH","280","317"
"*","23","STITCH","291","318"
"*","24","STITCH","281","321"
"*","25","STITCH","292","321"
"*","26","STITCH","283","325"
"*","27","STITCH","293","323"
"*","28","STITCH","284","329"
"*","29","STITCH","294","326"
"*","30","STITCH","286","333"
"*","31","STITCH","295","329"
"*","32","STITCH","287","337"
"*","33","STITCH","296","331"
"*","34","STITCH","289","341"
"*","35","STITCH","296","334"
"*","36","STITCH","291","345"
"*","37","STITCH","297","337"
"*","38","STITCH","292","349"
"*","39","STITCH","298","340"
"*","40","STITCH","294","353"
"*","41","STITCH","299","342"
"*","42","STITCH","297","354"
"*","43","STITCH","299","342"
"*","44","STITCH","302","354"
"*","45","STITCH","300","339"
"*","46","STITCH","305","352"
"*","47","STITCH","301","336"
"*","48","STITCH","306","348"
"*","49","STITCH","302","334"
"*","50","STITCH","308","344"
"*","51","STITCH","303","331"
"*","52","STITCH","310","340"
"*","53","STITCH","304","328"
"*","54","STITCH","311","336"
"*","55","STITCH","305","326"
"*","56","STITCH","313","332"
"*","57","STITCH","305","323"
"*","58","STITCH","314","328"
"*","59","STITCH","306","320"
"*","60","STITCH","316","324"
"*","61","STITCH","307","318"
"*","62","STITCH","317","320"
"*","63","STITCH","308","315"
"*","64","STITCH","319","316"
"*","65","STITCH","309","313"
"*","66","STITCH","320","313"
"*","67","STITCH","319","313"
"*","68","STITCH","318","313"
"*","69","STITCH","319","313"
"*","70","STITCH","320","313"
"*","71","END","320","313"
