"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","116"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","120.0"
">","EXTENTS_TOP:","104.0"
">","EXTENTS_RIGHT:","410"
">","EXTENTS_BOTTOM:","354"
">","EXTENTS_WIDTH:","290.0"
">","EXTENTS_HEIGHT:","250.0"
">","COMMAND_STITCH","113"
">","COMMAND_JUMP","2"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","117"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1249"
"@","+X","1448"
"@","-Y","1249"
"@","-X","1448"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#e23f58","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","120.0","104.0"
"*","1","JUMP","239.0","209.0"
"*","2","STITCH","359","313"
"*","3","STITCH","359","314"
"*","4","STITCH","359","315"
"*","5","STITCH","359","314"
"*","6","STITCH","359","313"
"*","7","STITCH","362","326"
"*","8","STITCH","366","338"
"*","9","STITCH","371","346"
"*","10","STITCH","376","333"
"*","11","STITCH","379","320"
"*","12","STITCH","386","325"
"*","13","STITCH","389","339"
"*","14","STITCH","396","347"
"*","15","STITCH","399","334"
"*","16","STITCH","402","322"
"*","17","STITCH","404","313"
"*","18","STITCH","402","322"
"*","19","STITCH","399","334"
"*","20","STITCH","396","347"
"*","21","STITCH","389","339"
"*","22","STITCH","386","325"
"*","23","STITCH","379","320"
"*","24","STITCH","376","333"
"*","25","STITCH","371","346"
"*","26","STITCH","366","338"
"*","27","STITCH","362","326"
"*","28","STITCH","359","313"
"*","29","STITCH","364","313"
"*","30","STITCH","354","313"
"*","31","STITCH","365","316"
"*","32","STITCH","355","318"
"*","33","STITCH","366","318"
"*","34","STITCH","356","322"
"*","35","STITCH","366","320"
"*","36","STITCH","357","326"
"*","37","STITCH","367","323"
"*","38","STITCH","358","330"
"*","39","STITCH","367","325"
"*","40","STITCH","360","334"
"*","41","STITCH","368","328"
"*","42","STITCH","361","338"
"*","43","STITCH","368","331"
"*","44","STITCH","362","342"
"*","45","STITCH","369","333"
"*","46","STITCH","363","346"
"*","47","STITCH","369","336"
"*","48","STITCH","364","350"
"*","49","STITCH","370","339"
"*","50","STITCH","366","354"
"*","51","STITCH","370","341"
"*","52","STITCH","370","354"
"*","53","STITCH","371","337"
"*","54","STITCH","374","353"
"*","55","STITCH","372","333"
"*","56","STITCH","375","349"
"*","57","STITCH","373","330"
"*","58","STITCH","376","345"
"*","59","STITCH","374","326"
"*","60","STITCH","377","342"
"*","61","STITCH","375","322"
"*","62","STITCH","378","338"
"*","63","STITCH","376","319"
"*","64","STITCH","379","334"
"*","65","STITCH","377","315"
"*","66","STITCH","380","330"
"*","67","STITCH","378","311"
"*","68","STITCH","381","326"
"*","69","STITCH","382","311"
"*","70","STITCH","382","322"
"*","71","STITCH","386","312"
"*","72","STITCH","382","326"
"*","73","STITCH","387","315"
"*","74","STITCH","383","330"
"*","75","STITCH","388","319"
"*","76","STITCH","384","334"
"*","77","STITCH","389","323"
"*","78","STITCH","385","338"
"*","79","STITCH","390","326"
"*","80","STITCH","386","342"
"*","81","STITCH","391","330"
"*","82","STITCH","387","345"
"*","83","STITCH","392","334"
"*","84","STITCH","388","349"
"*","85","STITCH","393","338"
"*","86","STITCH","389","353"
"*","87","STITCH","393","340"
"*","88","STITCH","394","354"
"*","89","STITCH","393","340"
"*","90","STITCH","398","354"
"*","91","STITCH","394","337"
"*","92","STITCH","399","350"
"*","93","STITCH","394","334"
"*","94","STITCH","400","346"
"*","95","STITCH","395","331"
"*","96","STITCH","402","342"
"*","97","STITCH","396","329"
"*","98","STITCH","403","338"
"*","99","STITCH","396","326"
"*","100","STITCH","404","334"
"*","101","STITCH","397","323"
"*","102","STITCH","405","330"
"*","103","STITCH","397","321"
"*","104","STITCH","406","326"
"*","105","STITCH","398","318"
"*","106","STITCH","407","322"
"*","107","STITCH","399","316"
"*","108","STITCH","409","317"
"*","109","STITCH","399","313"
"*","110","STITCH","410","313"
"*","111","STITCH","409","313"
"*","112","STITCH","408","313"
"*","113","STITCH","409","313"
"*","114","STITCH","410","313"
"*","115","END","410","313"
