"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","89"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","112.0"
">","EXTENTS_TOP:","88.0"
">","EXTENTS_RIGHT:","485"
">","EXTENTS_BOTTOM:","352"
">","EXTENTS_WIDTH:","373.0"
">","EXTENTS_HEIGHT:","264.0"
">","COMMAND_STITCH","85"
">","COMMAND_JUMP","3"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","90"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1319"
"@","+X","1865"
"@","-Y","1319"
"@","-X","1865"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#9bbf00","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","112.0","88.0"
"*","1","JUMP","225.0","176.0"
"*","2","JUMP","337.0","264.0"
"*","3","STITCH","449","352"
"*","4","STITCH","450","351"
"*","5","STITCH","450","351"
"*","6","STITCH","450","351"
"*","7","STITCH","449","352"
"*","8","STITCH","457","341"
"*","9","STITCH","462","334"
"*","10","STITCH","457","341"
"*","11","STITCH","449","352"
"*","12","STITCH","444","352"
"*","13","STITCH","455","352"
"*","14","STITCH","446","348"
"*","15","STITCH","457","350"
"*","16","STITCH","448","345"
"*","17","STITCH","459","348"
"*","18","STITCH","451","341"
"*","19","STITCH","460","345"
"*","20","STITCH","453","338"
"*","21","STITCH","462","343"
"*","22","STITCH","456","334"
"*","23","STITCH","464","341"
"*","24","STITCH","459","330"
"*","25","STITCH","466","338"
"*","26","STITCH","464","332"
"*","27","STITCH","473","320"
"*","28","STITCH","477","315"
"*","29","STITCH","484","313"
"*","30","STITCH","473","313"
"*","31","STITCH","482","317"
"*","32","STITCH","471","315"
"*","33","STITCH","479","320"
"*","34","STITCH","469","317"
"*","35","STITCH","477","324"
"*","36","STITCH","468","320"
"*","37","STITCH","474","327"
"*","38","STITCH","466","322"
"*","39","STITCH","472","331"
"*","40","STITCH","465","324"
"*","41","STITCH","470","334"
"*","42","STITCH","463","325"
"*","43","STITCH","464","331"
"*","44","STITCH","455","319"
"*","45","STITCH","451","314"
"*","46","STITCH","458","324"
"*","47","STITCH","467","335"
"*","48","STITCH","475","347"
"*","49","STITCH","479","352"
"*","50","STITCH","475","347"
"*","51","STITCH","467","335"
"*","52","STITCH","458","324"
"*","53","STITCH","451","313"
"*","54","STITCH","445","313"
"*","55","STITCH","456","313"
"*","56","STITCH","447","317"
"*","57","STITCH","458","315"
"*","58","STITCH","450","320"
"*","59","STITCH","460","318"
"*","60","STITCH","452","324"
"*","61","STITCH","462","320"
"*","62","STITCH","455","327"
"*","63","STITCH","463","322"
"*","64","STITCH","457","331"
"*","65","STITCH","465","324"
"*","66","STITCH","460","334"
"*","67","STITCH","467","327"
"*","68","STITCH","462","337"
"*","69","STITCH","469","330"
"*","70","STITCH","464","340"
"*","71","STITCH","472","333"
"*","72","STITCH","466","342"
"*","73","STITCH","474","337"
"*","74","STITCH","467","344"
"*","75","STITCH","477","340"
"*","76","STITCH","469","346"
"*","77","STITCH","479","344"
"*","78","STITCH","471","349"
"*","79","STITCH","482","347"
"*","80","STITCH","473","351"
"*","81","STITCH","484","350"
"*","82","STITCH","474","352"
"*","83","STITCH","485","352"
"*","84","STITCH","484","352"
"*","85","STITCH","483","352"
"*","86","STITCH","484","352"
"*","87","STITCH","485","352"
"*","88","END","485","352"
