"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","92"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","109.0"
">","EXTENTS_TOP:","63.0"
">","EXTENTS_RIGHT:","581"
">","EXTENTS_BOTTOM:","368"
">","EXTENTS_WIDTH:","472.0"
">","EXTENTS_HEIGHT:","305.0"
">","COMMAND_STITCH","87"
">","COMMAND_JUMP","4"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","93"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1527"
"@","+X","2359"
"@","-Y","1527"
"@","-X","2359"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#530f18","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","109.0","63.0"
"*","1","JUMP","218.0","125.0"
"*","2","JUMP","327.0","188.0"
"*","3","JUMP","436.0","250.0"
"*","4","STITCH","545","313"
"*","5","STITCH","545","314"
"*","6","STITCH","545","315"
"*","7","STITCH","545","314"
"*","8","STITCH","545","313"
"*","9","STITCH","550","326"
"*","10","STITCH","555","338"
"*","11","STITCH","558","347"
"*","12","STITCH","555","338"
"*","13","STITCH","550","326"
"*","14","STITCH","545","313"
"*","15","STITCH","550","313"
"*","16","STITCH","539","313"
"*","17","STITCH","551","316"
"*","18","STITCH","541","317"
"*","19","STITCH","552","319"
"*","20","STITCH","542","321"
"*","21","STITCH","553","321"
"*","22","STITCH","544","325"
"*","23","STITCH","554","324"
"*","24","STITCH","546","329"
"*","25","STITCH","555","327"
"*","26","STITCH","547","333"
"*","27","STITCH","556","329"
"*","28","STITCH","549","337"
"*","29","STITCH","557","332"
"*","30","STITCH","551","341"
"*","31","STITCH","558","335"
"*","32","STITCH","552","345"
"*","33","STITCH","559","338"
"*","34","STITCH","554","348"
"*","35","STITCH","561","342"
"*","36","STITCH","556","353"
"*","37","STITCH","559","354"
"*","38","STITCH","549","364"
"*","39","STITCH","547","364"
"*","40","STITCH","545","364"
"*","41","STITCH","556","360"
"*","42","STITCH","562","347"
"*","43","STITCH","567","334"
"*","44","STITCH","573","320"
"*","45","STITCH","575","313"
"*","46","STITCH","573","320"
"*","47","STITCH","567","334"
"*","48","STITCH","562","347"
"*","49","STITCH","556","360"
"*","50","STITCH","545","364"
"*","51","STITCH","545","359"
"*","52","STITCH","545","368"
"*","53","STITCH","547","359"
"*","54","STITCH","549","368"
"*","55","STITCH","549","359"
"*","56","STITCH","554","368"
"*","57","STITCH","551","358"
"*","58","STITCH","558","366"
"*","59","STITCH","552","357"
"*","60","STITCH","561","363"
"*","61","STITCH","553","355"
"*","62","STITCH","563","359"
"*","63","STITCH","555","351"
"*","64","STITCH","564","355"
"*","65","STITCH","556","348"
"*","66","STITCH","566","351"
"*","67","STITCH","557","345"
"*","68","STITCH","567","347"
"*","69","STITCH","559","341"
"*","70","STITCH","569","344"
"*","71","STITCH","560","338"
"*","72","STITCH","570","340"
"*","73","STITCH","562","334"
"*","74","STITCH","572","336"
"*","75","STITCH","563","331"
"*","76","STITCH","573","332"
"*","77","STITCH","564","327"
"*","78","STITCH","575","328"
"*","79","STITCH","566","324"
"*","80","STITCH","576","325"
"*","81","STITCH","567","320"
"*","82","STITCH","578","321"
"*","83","STITCH","569","317"
"*","84","STITCH","579","317"
"*","85","STITCH","570","313"
"*","86","STITCH","581","313"
"*","87","STITCH","580","313"
"*","88","STITCH","579","313"
"*","89","STITCH","580","313"
"*","90","STITCH","581","313"
"*","91","END","581","313"
