"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","87"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","103.0"
">","EXTENTS_TOP:","53.0"
">","EXTENTS_RIGHT:","648"
">","EXTENTS_BOTTOM:","354"
">","EXTENTS_WIDTH:","545.0"
">","EXTENTS_HEIGHT:","301.0"
">","COMMAND_STITCH","81"
">","COMMAND_JUMP","5"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","88"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","1504"
"@","+X","2726"
"@","-Y","1504"
"@","-X","2726"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#6af8c9","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","103.0","53.0"
"*","1","JUMP","206.0","105.0"
"*","2","JUMP","309.0","158.0"
"*","3","JUMP","412.0","211.0"
"*","4","JUMP","515.0","263.0"
"*","5","STITCH","618","316"
"*","6","STITCH","619","316"
"*","7","STITCH","619","316"
"*","8","STITCH","619","316"
"*","9","STITCH","618","316"
"*","10","STITCH","633","316"
"*","11","STITCH","646","316"
"*","12","STITCH","633","316"
"*","13","STITCH","618","316"
"*","14","STITCH","618","311"
"*","15","STITCH","618","320"
"*","16","STITCH","622","311"
"*","17","STITCH","622","320"
"*","18","STITCH","626","311"
"*","19","STITCH","626","320"
"*","20","STITCH","630","311"
"*","21","STITCH","630","320"
"*","22","STITCH","634","311"
"*","23","STITCH","634","320"
"*","24","STITCH","638","311"
"*","25","STITCH","638","320"
"*","26","STITCH","642","311"
"*","27","STITCH","642","320"
"*","28","STITCH","646","311"
"*","29","STITCH","646","320"
"*","30","STITCH","643","318"
"*","31","STITCH","635","330"
"*","32","STITCH","625","341"
"*","33","STITCH","621","347"
"*","34","STITCH","625","341"
"*","35","STITCH","635","330"
"*","36","STITCH","643","318"
"*","37","STITCH","648","318"
"*","38","STITCH","639","318"
"*","39","STITCH","647","322"
"*","40","STITCH","636","321"
"*","41","STITCH","645","325"
"*","42","STITCH","634","324"
"*","43","STITCH","642","328"
"*","44","STITCH","631","327"
"*","45","STITCH","640","331"
"*","46","STITCH","628","330"
"*","47","STITCH","637","334"
"*","48","STITCH","626","333"
"*","49","STITCH","635","337"
"*","50","STITCH","623","336"
"*","51","STITCH","632","340"
"*","52","STITCH","621","339"
"*","53","STITCH","629","343"
"*","54","STITCH","618","342"
"*","55","STITCH","627","346"
"*","56","STITCH","616","345"
"*","57","STITCH","626","347"
"*","58","STITCH","616","347"
"*","59","STITCH","618","349"
"*","60","STITCH","633","349"
"*","61","STITCH","648","349"
"*","62","STITCH","633","349"
"*","63","STITCH","618","349"
"*","64","STITCH","618","345"
"*","65","STITCH","618","354"
"*","66","STITCH","622","345"
"*","67","STITCH","622","354"
"*","68","STITCH","626","345"
"*","69","STITCH","626","354"
"*","70","STITCH","630","345"
"*","71","STITCH","630","354"
"*","72","STITCH","634","345"
"*","73","STITCH","634","354"
"*","74","STITCH","638","345"
"*","75","STITCH","638","354"
"*","76","STITCH","642","345"
"*","77","STITCH","642","354"
"*","78","STITCH","646","345"
"*","79","STITCH","646","354"
"*","80","STITCH","648","345"
"*","81","STITCH","648","354"
"*","82","STITCH","648","353"
"*","83","STITCH","648","352"
"*","84","STITCH","648","353"
"*","85","STITCH","648","354"
"*","86","END","648","354"
