"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","27"
">","THREAD_COUNT:","0"
">","EXTENTS_LEFT:","61.0"
">","EXTENTS_TOP:","115.0"
">","EXTENTS_RIGHT:","497"
">","EXTENTS_BOTTOM:","923"
">","EXTENTS_WIDTH:","436.0"
">","EXTENTS_HEIGHT:","808.0"
">","COMMAND_STITCH","19"
">","COMMAND_JUMP","7"
">","COMMAND_END","1"

"#","[METADATA_NAME]","[METADATA]"
"@","CO","0"
"@","name","Untitled"
"@","ST","28"
"@","MX","+    0"
"@","PD","******"
"@","AY","+    0"
"@","AX","+    0"
"@","+Y","4042"
"@","+X","2178"
"@","-Y","4042"
"@","-X","2178"

"#","[THREAD_NUMBER]","[HEX_COLOR]","[DESCRIPTION]","[BRAND]","[CATALOG_NUMBER]","[DETAILS]","[WEIGHT]"
"$","0","#8352f1","Random","None","None","None","None"

"#","[STITCH_INDEX]","[STITCH_TYPE]","[X]","[Y]"
"*","0","JUMP","61.0","115.0"
"*","1","JUMP","123.0","231.0"
"*","2","JUMP","184.0","346.0"
"*","3","JUMP","245.0","462.0"
"*","4","JUMP","306.0","577.0"
"*","5","JUMP","368.0","692.0"
"*","6","JUMP","429.0","808.0"
"*","7","STITCH","490","923"
"*","8","STITCH","490","923"
"*","9","STITCH","490","922"
"*","10","STITCH","490","923"
"*","11","STITCH","490","923"
"*","12","STITCH","490","914"
"*","13","STITCH","490","923"
"*","14","STITCH","483","923"
"*","15","STITCH","497","923"
"*","16","STITCH","483","919"
"*","17","STITCH","497","919"
"*","18","STITCH","483","915"
"*","19","STITCH","497","915"
"*","20","STITCH","483","914"
"*","21","STITCH","497","914"
"*","22","STITCH","496","914"
"*","23","STITCH","495","914"
"*","24","STITCH","496","914"
"*","25","STITCH","497","914"
"*","26","END","497","914"
